   Compiling codescout v0.15.0 (/home/marius/work/claude/codescout)
test agent::tests::a_switch_by_a_different_session_still_warns_and_names_the_other_caller ... ok
test agent::build_check::tests::at_most_three_errors_are_rendered ... ok
test agent::build_check::tests::under_the_cap_no_disclosure_is_added ... ok
test agent::tests::a_worktrees_own_workspace_toml_still_wins_over_the_main_checkouts ... ok
test agent::tests::concurrent_switch_warning_flags_rapid_foreign_switch ... ok
test agent::tests::an_unidentified_caller_falls_back_to_proximity_and_still_warns ... ok
test agent::tests::resolve_read_only_covers_its_whole_domain ... ok
test agent::tests::project_security_config_leaves_a_writable_project_unattributed ... ok
test agent::tests::project_security_config_attributes_a_config_disabled_project_to_its_config ... ok
test agent::tests::discover_settings_fall_back_to_defaults_outside_a_worktree ... ok
test agent::tests::project_security_config_attributes_a_read_only_project_to_its_root ... ok
test agent::tests::project_status_returns_none_without_project ... ok
test agent::tests::library_registry_none_without_project ... ok
test agent::tests::project_not_explicitly_activated_without_project ... ok
test agent::tests::home_root_none_without_project ... ok
test agent::tests::with_project_errors_when_none ... ok
test agent::tests::require_project_root_error_message ... ok
test agent::tests::new_without_project ... ok
test ast::parser::tests::empty_source ... ok
test agent::tests::discover_settings_read_through_to_the_main_checkout_from_a_worktree ... ok
test ast::parser::tests::extract_bash_symbols_nested_not_double_counted ... ok
test ast::parser::tests::get_ts_language_bash ... ok
test ast::parser::tests::extract_bash_symbols_no_functions ... ok
test ast::parser::tests::extract_bash_symbols_function_def ... ok
test ast::parser::tests::docstrings_associate_new_node_kinds ... ok
test ast::parser::tests::go_docstrings ... ok
test agent::write_guard::tests::releasing_the_lock_clears_the_holder_record ... ok
test ast::parser::tests::go_generic_receiver_keeps_type_path ... ok
test ast::parser::tests::go_symbols ... ok
test ast::parser::tests::java_nested_types_are_extracted_without_duplication ... ok
test ast::parser::tests::java_docstrings ... ok
test agent::write_guard::tests::acquire_returns_guard_when_uncontended ... ok
test ast::parser::tests::kotlin_backtick_function_names ... ok
test agent::write_guard::tests::guard_drop_releases_lock ... ok
test ast::parser::tests::kotlin_nested_classes_and_members_are_extracted ... ok
test ast::parser::tests::kotlin_docstrings ... ok
test ast::parser::tests::java_symbols ... ok
test ast::parser::tests::python_docstrings ... ok
test ast::parser::tests::rust_docstrings ... ok
test ast::parser::tests::python_symbols ... ok
test ast::parser::tests::rust_assoc_items_and_macros_are_extracted ... ok
test ast::parser::tests::ts_arrow_function_consts_are_extracted ... ok
test ast::parser::tests::kotlin_symbols ... ok
test ast::parser::tests::ts_namespace_and_abstract_class_are_extracted ... ok
test ast::parser::tests::rust_symbols ... ok
test ast::parser::tests::unsupported_language ... ok
test ast::tests::detect_language_vs_get_ts_language_contract ... ok
test ast::parser::tests::typescript_jsdoc ... ok
test ast::parser::tests::tsx_symbols ... ok
test ast::parser::tests::typescript_symbols ... ok
test cli::doc::tests::compile_filter_none_when_no_shortcuts_or_filter ... ok
test cli::doc::tests::compile_filter_kind_status_tag_combined ... ok
test cli::doc::tests::compile_filter_raw_filter_bad_json_errors ... ok
test cli::doc::tests::compile_filter_raw_filter_parses_and_joins ... ok
test cli::doc::tests::compile_filter_single_tag_yields_leaf ... ok
test cli::doc::tests::compile_filter_two_tags_and_joined ... ok
test cli::doc::tests::create_omits_time_scope_and_extra_when_unset ... ok
test cli::doc::tests::create_still_marshals_every_pre_existing_field ... ok
test cli::doc::tests::create_time_scope_and_extra_reach_the_tool_args ... ok
test cli::doc::tests::get_args_common_carries_project_json_no_color ... ok
test cli::doc::tests::run_graph_rejects_depth_zero ... ok
test cli::doc::tests::update_force_flag_reaches_the_tool_args ... ok
test cli::doc::tests::update_omits_force_when_unset ... ok
test cli::doc::tests::run_state_at_rejects_missing_cutoff ... ok
test cli::doc::tests::update_omits_time_scope_and_extra_when_unset ... ok
test cli::doc::tests::create_parser_accepts_time_scope_and_extra ... ok
test cli::doc::tests::update_rejects_extra_that_is_not_json ... ok
test cli::doc::tests::update_time_scope_and_extra_reach_the_patch ... ok
test cli::doctor::tests::a_set_flag_reaches_the_args_map_with_its_value ... ok
test cli::doctor::tests::an_informational_only_report_does_not_trip_the_exit_1_path ... ok
test cli::doc::tests::update_parser_accepts_time_scope_and_extra ... ok
test agent::tests::new_with_valid_project ... ok
test cli::doc::tests::update_parser_accepts_force_flag ... ok
test agent::tests::session_write_roots_empty_by_default ... ok
test cli::format::tests::infer_shape_recognises_event_list_bare_array ... ok
test cli::format::tests::infer_shape_recognises_event_list_object ... ok
test cli::format::tests::infer_shape_recognises_find_result ... ok
test cli::format::tests::infer_shape_recognises_stale_list ... ok
test cli::format::tests::infer_shape_recognises_state_at_result ... ok
test cli::format::tests::infer_shape_unknown_for_arbitrary_object ... ok
test cli::format::tests::json_mode_emits_pretty_json ... ok
test cli::format::tests::pretty_event_list_renders_header_and_rows ... ok
test cli::format::tests::pretty_find_result_renders_table_with_id_kind_status_title ... ok
test cli::format::tests::unknown_shape_falls_back_to_json ... ok
test cli::format::tests::pretty_stale_list_renders_header_and_rows ... ok
test cli::tests::read_at_or_stdin_reads_file_when_at_prefix ... ok
test cli::tests::read_at_or_stdin_rejects_missing_file ... ok
test cli::tests::read_at_or_stdin_returns_raw_text_without_at_prefix ... ok
test config::global::tests::all_keys_apply_when_none_are_set ... ok
test config::global::tests::config_dir_none_when_neither_set ... ok
test config::global::tests::config_dir_ignores_relative_xdg_and_falls_back_to_home ... ok
test config::global::tests::config_dir_none_when_xdg_is_relative_and_home_unset ... ok
test agent::tests::activate_non_home_defaults_to_read_only ... ok
test config::global::tests::config_dir_falls_back_to_home_dot_config ... ok
test config::global::tests::config_dir_xdg_wins_over_home ... ok
test config::global::tests::env_path_derives_from_config_dir ... ok
test config::global::tests::config_dir_prefers_xdg_config_home ... ok
test agent::tests::activate_replaces_previous_project ... ok
test config::global::tests::load_errors_on_malformed_toml ... ok
test config::global::tests::load_returns_none_when_absent ... ok
test config::global::tests::plan_is_noop_when_there_is_no_path_at_all ... ok
test config::global::tests::plan_explicit_wins_over_default ... ok
test config::global::tests::plan_is_silent_noop_when_default_is_absent ... ok
test config::global::tests::load_parses_valid_toml ... ok
test config::global::tests::plan_warns_when_explicit_file_is_missing ... ok
test config::global::tests::plan_loads_explicit_file_when_it_exists ... ok
test config::global::tests::real_env_wins_over_the_dotenv_file ... ok
test config::global::tests::to_toml_value_emits_only_some_fields ... ok
test config::project::lsp_section_absent_parses_to_empty_map ... ok
test config::global::tests::to_toml_value_security_emits_set_fields ... ok
test agent::tests::marking_a_rust_file_dirty_reaches_the_build_check ... ok
test config::project::security_section_accepts_custom_write_lock_timeout ... ok
test config::project::security_section_defaults_write_lock_timeout_to_5s ... ok
test config::project::tests::a_retained_chunk_size_key_still_deserialises_and_is_ignored ... ok
test config::project::lsp_section_parses_per_language_opt_out ... ok
test config::project::tests::absent_env_vars_leave_config_untouched ... ok
test config::project::tests::default_config_has_expected_embeddings ... ok
test config::project::tests::default_ignores_cover_dependency_trees_but_never_plausible_source_dirs ... ok
test config::project::tests::effective_file_group_size_defaults_to_50 ... ok
test config::project::tests::default_embed_model_is_allminilm ... ok
test config::project::tests::effective_file_group_size_user_value_honored ... ok
test config::project::tests::effective_max_inflight_user_value_honored ... ok
test config::project::tests::effective_max_inflight_zero_falls_back_to_default ... ok
test config::project::tests::effective_max_inflight_defaults_to_8 ... ok
test config::project::tests::embeddings_section_parses_inflight_and_group_size ... ok
test config::project::tests::env_vars_override_model_and_url ... ok
test config::project::tests::embeddings_section_parses_url_and_api_key ... ok
test config::project::tests::embeddings_section_url_defaults_to_none ... ok
test config::project::tests::memory_section_default_includes_gotchas ... ok
test config::project::tests::load_or_default_applies_global_when_project_absent ... ok
test config::project::tests::memory_section_defaults ... ok
test config::project::tests::load_or_default_global_fills_gap_in_project ... ok
test config::project::tests::memory_section_missing_protected_uses_default ... ok
test config::project::tests::load_or_default_no_global_behaves_as_before ... ok
test config::project::tests::memory_section_override ... ok
test config::project::tests::merge_toml_base_fills_missing_key ... ok
test config::project::tests::memory_section_serde_roundtrip_with_protected ... ok
test config::project::tests::merge_toml_empty_overlay_returns_base ... ok
test config::project::tests::project_config_default_for_enables_write_tools ... ok
test config::project::tests::project_config_chunk_size_round_trip ... ok
test config::project::tests::merge_toml_nested_tables_merge_recursively ... ok
test config::project::tests::project_config_default_propagates_max_index_bytes ... ok
test config::project::tests::merge_toml_non_table_overlay_replaces_base ... ok
test config::project::tests::load_or_default_project_wins_over_global ... ok
test config::project::tests::project_config_deserializes_libraries_section ... ok
test config::project::tests::project_section_deserializes_onboarding_version ... ok
test config::project::tests::project_config_libraries_defaults ... ok
test config::project::tests::project_section_deserializes_without_onboarding_version ... ok
test config::project::tests::merge_toml_overlay_wins_scalar ... ok
test cli::doctor::tests::the_scanner_field_scan_is_not_vacuous ... ok
test config::project::tests::security_section_default_max_index_bytes_is_500mb ... ok
test config::project::tests::security_profile_defaults_to_default ... ok
test config::project::tests::security_section_default_enables_write_git_indexing ... ok
test config::project::tests::security_profile_parses_from_toml ... ok
test cli::doctor::tests::every_declared_omission_names_a_real_param_and_gives_a_reason ... ok
test config::project::tests::stale_debug_enforce_symbol_tools_key_is_ignored_not_rejected ... ok
test config::project::tests::stale_drift_detection_enabled_key_is_ignored_not_rejected ... ok
test config::project::tests::toml_without_security_section_enables_write_tools ... ok
test config::project::tests::system_prompt_defaults_to_none ... ok
test config::project::tests::system_prompt_parses_from_toml ... ok
test config::sensitive::tests::debug_distinguishes_empty_from_set ... ok
test config::sensitive::tests::debug_hides_value ... ok
test config::sensitive::tests::display_passes_value_through ... ok
test config::sensitive::tests::serde_roundtrips_transparently ... ok
test cli::doctor::tests::every_scanner_param_is_reachable_from_the_cli_or_named_as_omitted ... ok
test config::workspace::tests::defaults_are_sensible ... ok
test config::project::tests::validate_list_limits_rejects_oversized_patterns ... ok
test config::workspace::tests::deserialize_workspace_config ... ok
test embed::ast_chunker::tests::ast_split_bash_two_functions ... ok
test embed::ast_chunker::tests::ast_split_captures_gap_text ... ok
test embed::ast_chunker::tests::ast_split_go_function_with_doc ... ok
test embed::ast_chunker::tests::ast_split_preserves_line_numbers ... ok
test embed::ast_chunker::tests::ast_with_no_extractable_nodes_falls_back ... ok
test embed::ast_chunker::tests::ast_split_trailing_gap_captured ... ok
test embed::ast_chunker::tests::ast_split_python_function_with_comment ... ok
test embed::ast_chunker::tests::ast_split_rust_two_functions ... ok
test embed::ast_chunker::tests::coalesce_breaks_a_run_on_a_line_gap ... ok
test embed::ast_chunker::tests::coalesce_leaves_a_lone_small_declaration_alone ... ok
test embed::ast_chunker::tests::coalesce_merges_contiguous_small_declarations ... ok
test embed::ast_chunker::tests::coalesce_never_merges_a_gap_chunk ... ok
test embed::ast_chunker::tests::chunk_overlap_removed_from_ast_paths ... ok
test embed::ast_chunker::tests::ast_split_typescript_with_jsdoc ... ok
test embed::ast_chunker::tests::broken_syntax_falls_back_to_line_splitting ... ok
test embed::ast_chunker::tests::coalesce_stops_a_run_at_the_size_ceiling ... ok
test embed::ast_chunker::tests::enforce_max_chunk_size_is_noop_for_small_chunks ... ok
test embed::ast_chunker::tests::expand_at_line_zero ... ok
test embed::ast_chunker::tests::expand_doc_comments_java_block ... ok
test embed::ast_chunker::tests::expand_doc_comments_none ... ok
test embed::ast_chunker::tests::expand_doc_comments_rust ... ok
test embed::ast_chunker::tests::expand_doc_does_not_bridge_many_blank_lines ... ok
test embed::ast_chunker::tests::container_recursion_does_not_duplicate_lines_outside_the_container ... ok
test embed::ast_chunker::tests::expand_skips_blank_lines_between_doc_and_node ... ok
test embed::ast_chunker::tests::extract_signature_arrow_fn ... ok
test embed::ast_chunker::tests::extract_signature_no_block_start ... ok
test embed::ast_chunker::tests::extract_signature_python_def ... ok
test embed::ast_chunker::tests::extract_signature_rust_fn ... ok
test embed::ast_chunker::tests::extract_signature_truncates_at_100_chars ... ok
test embed::ast_chunker::tests::generic_heuristic_extracts_multiline_named_nodes ... ok
test embed::ast_chunker::tests::generic_heuristic_ignores_single_line_nodes ... ok
test embed::ast_chunker::tests::is_doc_line_matches_prefix ... ok
test embed::ast_chunker::tests::is_doc_line_rejects_non_doc ... ok
test embed::ast_chunker::tests::kind_keyword_python_async ... ok
test embed::ast_chunker::tests::kind_keyword_python_class ... ok
test embed::ast_chunker::tests::kind_keyword_rust_function ... ok
test embed::ast_chunker::tests::inner_method_signature_skips_doc_comments ... ok
test embed::ast_chunker::tests::kind_keyword_rust_impl ... ok
test embed::ast_chunker::tests::kind_keyword_rust_struct ... ok
test embed::ast_chunker::tests::kind_keyword_typescript_method ... ok
test embed::ast_chunker::tests::kind_keyword_unknown_returns_none ... ok
test embed::ast_chunker::tests::metadata_header_container_only ... ok
test embed::ast_chunker::tests::metadata_header_gap_file_only ... ok
test embed::ast_chunker::tests::metadata_header_kind_without_signature_uses_name ... ok
test embed::ast_chunker::tests::metadata_header_name_only_no_kind_no_sig ... ok
test embed::ast_chunker::tests::metadata_header_nested_container ... ok
test embed::ast_chunker::tests::metadata_header_rust_method_in_impl ... ok
test embed::ast_chunker::tests::metadata_header_struct_no_signature ... ok
test embed::ast_chunker::tests::metadata_header_top_level_rust_fn ... ok
test embed::ast_chunker::tests::registry_lookup_all_languages ... ok
test embed::ast_chunker::tests::registry_lookup_case_insensitive ... ok
test embed::ast_chunker::tests::registry_returns_none_for_unknown ... ok
test embed::ast_chunker::tests::slice_on_char_boundary_ascii_round_trip ... ok
test embed::ast_chunker::tests::slice_on_char_boundary_respects_utf8 ... ok
test embed::ast_chunker::tests::split_file_empty_source ... ok
test embed::ast_chunker::tests::single_method_impl_keeps_per_symbol_metadata ... ok
test embed::ast_chunker::tests::split_file_markdown_delegates_to_markdown_splitter ... ok
test embed::ast_chunker::tests::split_file_known_lang_uses_ast_split ... ok
test embed::ast_chunker::tests::split_file_markdown_uppercase_extension ... ok
test embed::ast_chunker::tests::split_file_post_pass_applies_to_plain_text_path ... ok
test embed::ast_chunker::tests::recursive_falls_back_when_no_inner_types ... ok
test embed::ast_chunker::tests::split_file_unknown_lang_falls_through_to_plain_split ... ok
test embed::ast_chunker::tests::split_file_signature_skips_doc_comments ... ok
test embed::ast_chunker::tests::recursive_class_extracts_methods_python ... ok
test embed::ast_chunker::tests::split_file_rust_populates_metadata_headers ... ok
test embed::ast_chunker::tests::recursive_impl_block_extracts_methods ... ok
test embed::ast_chunker::tests::recursive_impl_inner_doc_comments_included ... ok
test embed::ast_chunker::tests::tiny_inner_declarations_coalesce_end_to_end ... ok
test embed::ast_chunker::tests::oversized_node_is_sub_split_with_prefix ... ok
test embed::preflight::tests::classify_path_detects_home_directory ... ok
test embed::preflight::tests::classify_path_allows_normal_project_dirs ... ok
test embed::preflight::tests::classify_path_detects_home_parent ... ok
test embed::preflight::tests::classify_path_detects_root_system_path ... ok
test embed::preflight::tests::elicitation_message_includes_home_reason ... ok
test embed::preflight::tests::classify_path_detects_usr_etc_var ... ok
test embed::preflight::tests::elicitation_message_size_only_omits_suspicious_line ... ok
test embed::preflight::tests::elicitation_message_system_path_labelled ... ok
test embed::preflight::tests::format_bytes_rounds_to_one_decimal ... ok
test embed::tests::chunk_size_for_local_model_uses_table ... ok
test embed::tests::ignore_matcher_empty_matches_nothing ... ok
test embed::tests::ignore_matcher_prunes_bare_name_dir_at_any_depth ... ok
test embed::preflight::tests::check_index_scope_counts_hidden_non_gitignored_files ... ok
test embed::preflight::tests::check_index_scope_counts_only_eligible_after_ignore ... ok
test embed::preflight::tests::check_index_scope_flags_oversized_dir ... ok
test engines::coordinator::tests::a_claim_spends_its_corpus_even_when_it_emits_nothing ... ok
test engines::coordinator::tests::a_hintless_claim_does_not_block_a_later_hint ... ok
test engines::coordinator::tests::a_decline_passes_the_corpus_to_the_next_engine ... ok
test engines::coordinator::tests::an_engine_without_an_emitter_is_skipped ... ok
test engines::coordinator::tests::engines_in_different_corpora_both_emit_in_registry_order ... ok
test embed::preflight::tests::check_index_scope_returns_clear_for_small_dir ... ok
test embed::ast_chunker::tests::sub_split_covers_all_body_lines ... ok
test embed::preflight::tests::check_index_scope_counts_only_indexable_extensions ... ok
test engines::coordinator::tests::only_the_first_hint_survives ... ok
test engines::emitters::tests::guide_sections_declines_when_the_tool_names_no_topic ... ok
test embed::preflight::tests::check_index_scope_excludes_ignored_dirs ... ok
test engines::coordinator::tests::the_idle_tick_runs_before_any_engine_observes_the_ledger ... ok
test engines::emitters::tests::the_opener_declines_once_its_topic_is_stamped ... ok
test engines::emitters::tests::the_opener_stamps_the_bare_topic_name ... ok
test engines::tests::an_unmanaged_engine_is_registered_and_owns_nothing ... ok
test engines::emitters::tests::operator_rules_delivers_a_matching_rule_once_then_dedups ... ok
test engines::tests::engine_ids_are_unique ... ok
test engines::emitters::tests::operator_rules_declines_for_a_tool_that_opted_out_of_selector_key ... ok
test engines::tests::no_engine_claims_a_key_from_outside_every_corpus ... ok
test engines::tests::registry_order_is_delivery_precedence ... ok
test engines::tests::the_session_opener_deliberately_shares_the_guide_namespace ... ok
test fs::tests::is_mux_disconnect_matches_lsp_server_disconnected ... ok
test fs::tests::is_mux_disconnect_matches_mux_lost ... ok
test fs::tests::is_mux_disconnect_rejects_other_errors ... ok
test engines::emitters::tests::progressive_disclosure_is_withheld_when_nothing_overflowed ... ok
test fs::tests::path_aliases_and_alias_map_agree ... ok
test engines::emitters::tests::progressive_disclosure_ships_when_the_response_overflowed ... ok
test engines::tests::every_live_ledger_key_has_a_registered_owner ... ok
test engines::tests::engines_over_different_corpora_own_disjoint_key_spaces ... ok
test hardware::tests::gpu_probe_skips_on_windows_without_optin ... ok
test hardware::tests::model_options_cpu_only_recommends_jina ... ok
test embed::tests::ignore_matcher_supports_glob_patterns ... ok
test hardware::tests::model_options_default_is_local_allminilm ... ok
test hardware::tests::model_options_exactly_one_recommended ... ok
test hardware::tests::model_options_ollama_available_recommends_allminilm ... ok
test hardware::tests::model_options_with_ollama_still_recommends_local ... ok
test hardware::tests::ollama_tcp_addr_strips_http_prefix ... ok
test heartbeat::tests::note_background_op_prefixes_and_is_observable ... ok
test heartbeat::tests::note_tool_then_current_op_returns_name ... ok
test heartbeat::tests::stale_to_remove_age_floor_retains_recent_victim ... ok
test heartbeat::tests::stale_to_remove_keeps_newest_n ... ok
test heartbeat::tests::read_self_memory_does_not_panic ... ok
test agent::write_guard::tests::open_lock_file_creates_codescout_dir ... ok
test heartbeat::tests::append_then_read_back_contains_lines ... ok
test heartbeat::tests::prune_stale_removes_oldest_files ... ok
test agent::tests::is_home_true_when_at_home ... ok
test agent::tests::home_root_set_on_first_activate ... ok
test agent::tests::activate_creates_empty_library_registry ... ok
test heartbeat::tests::stale_to_remove_noop_under_cap ... ok
test heartbeat::tests::tick_line_is_greppable_keyvalue ... ok
test agent::tests::activate_sets_explicitly_activated ... ok
test agent::tests::activate_within_workspace_honours_read_only_true_on_the_root_project ... ok
test agent::tests::active_project_has_private_memory ... ok
test agent::tests::activate_sets_project ... ok
test embed::ast_chunker::tests::split_file_enforces_max_chunk_size_on_oversized_node ... ok
test agent::tests::new_with_relative_path_canonicalizes_home_root ... ok
test agent::tests::with_project_runs_closure ... ok
test agent::tests::session_write_roots_cleared_on_reactivation ... ok
test agent::tests::workspace_summary_returns_none_for_single_project ... ok
test agent::tests::project_status_falls_back_to_toml_system_prompt ... ok
test agent::tests::marking_a_non_rust_file_dirty_records_no_build_edit ... ok
test agent::tests::activate_home_with_read_only_true_is_honoured ... ok
test agent::tests::new_with_project_sets_explicitly_activated ... ok
test legibility::tests::over_budget_bodies_flags_only_over_budget_functions ... ok
test agent::tests::project_status_reads_system_prompt_file ... ok
test legibility::tests::score_and_rank_tiers_and_orders ... ok
test agent::tests::project_status_file_takes_precedence_over_toml ... ok
test agent::tests::add_session_write_root_visible_in_snapshot ... ok
test legibility::tests::friction_score_and_emptiness ... ok
test librarian::adapter::tests::a_body_selected_read_summary_cannot_lead_with_the_heading_map ... ok
test agent::tests::project_status_returns_some_with_project ... ok
test librarian::adapter::tests::bridge_maps_librarian_recoverable_to_host_type ... ok
test librarian::adapter::tests::an_unscoped_read_summary_still_leads_with_the_heading_map ... ok
test librarian::adapter::tests::bridge_passes_through_non_recoverable_errors ... ok
test librarian::adapter::tests::compact_summary_is_silent_when_no_finding_array_was_cut ... ok
test legibility::tests::measure_target_returns_body_size_for_a_symbol ... ok
test legibility::tests::over_budget_ignores_non_body_kinds ... ok
test agent::tests::agent_is_clone_safe ... ok
test librarian::adapter::tests::a_scoped_read_is_hinted_at_its_body_and_a_full_read_is_not ... ok
test librarian::adapter::tests::compact_summary_is_silent_when_every_row_was_shown ... ok
test agent::tests::activate_within_workspace_unknown_id_errors ... ok
test librarian::adapter::tests::compact_summary_keeps_the_truncation_warning_first_and_adds_the_answer ... ok
test agent::tests::drain_dirty_files_clears_set_and_returns_paths ... ok
test agent::tests::home_root_set_from_initial_project ... ok
test legibility::tests::index_lane_does_not_flag_name_collisions ... ok
test agent::tests::activate_registers_default_workspace_by_canonical_root ... ok
test git::tests::diff_tree_detects_deleted_file ... ok
test agent::tests::head_sha_none_for_non_git_project ... ok
test git::tests::diff_tree_returns_empty_for_same_commit ... ok
test embed::preflight::tests::check_index_scope_respects_gitignore ... ok
test embed::ast_chunker::tests::split_file_post_pass_preserves_absolute_line_numbers ... ok
test agent::tests::activate_home_defaults_to_writable ... ok
test agent::tests::activate_non_home_with_read_only_false_is_writable ... ok
test git::tests::diff_tree_detects_modified_file ... ok
test agent::tests::require_project_root_for_resolves_pin_over_default ... ok
test agent::tests::activate_within_workspace_promotes_dormant ... ok
test fs::tests::resolve_read_path_for_honors_workspace_override ... ok
test agent::tests::first_activate_is_writable ... ok
test agent::tests::home_root_not_changed_by_second_activate ... ok
test agent::tests::lsp_mux_override_resolves_pin_over_default ... ok
test agent::tests::workspace_summary_returns_projects_with_depends_on ... ok
test fs::tests::get_lsp_client_honors_workspace_override_for_lsp_root ... ok
test agent::tests::ensure_resident_upgrades_read_only_pin_to_writable ... ok
test fs::tests::resolve_write_path_for_honors_workspace_override ... ok
test agent::tests::project_root_matches_require_project_root_after_switch_focus ... ok
test librarian::adapter::tests::compact_summary_lists_section_headings_for_get ... ok
test librarian::adapter::tests::compact_summary_names_the_offset_when_the_caller_paged ... ok
test git::tests::diff_tree_detects_added_file ... ok
test librarian::adapter::tests::compact_summary_none_for_non_artifact_tools ... ok
test librarian::adapter::tests::compact_summary_none_without_overflow ... ok
test librarian::adapter::tests::compact_summary_previews_the_dominant_text_field_without_inlining_it ... ok
test agent::tests::is_home_false_after_switching ... ok
test librarian::adapter::tests::compact_summary_promotes_an_overflow_hint_from_any_librarian_tool ... ok
test librarian::adapter::tests::compact_summary_names_the_real_total_for_a_truncated_finding_array ... ok
test librarian::adapter::tests::compact_summary_surfaces_artifact_get_body_truncation ... ok
test agent::tests::is_home_true_after_returning ... ok
test librarian::adapter::tests::compact_summary_names_the_real_total_when_rows_were_elided ... ok
test librarian::adapter::tests::compact_summary_lists_what_find_matched ... ok
test librarian::adapter::tests::the_scoped_hint_overrides_what_the_default_heuristic_would_have_said ... ok
test librarian::adapter::tests::tracker_paths_route_to_the_tracker_guide_and_nothing_else_does ... ok
test librarian::artifact_store::backend_tests::a_collection_name_is_deterministic_and_has_no_illegal_characters ... ok
test librarian::artifact_store::backend_tests::delete_is_idempotent ... ok
test librarian::artifact_store::backend_tests::deleting_an_artifact_removes_every_one_of_its_chunk_points ... ok
test librarian::artifact_store::backend_tests::knn_filters_by_project_id ... ok
test librarian::artifact_store::backend_tests::refile_preserves_the_vectors_and_the_chunk_ids ... ok
test librarian::augmentation_sidecar::tests::a_malformed_sidecar_errors_rather_than_reading_as_absent ... ok
test librarian::augmentation_sidecar::tests::a_sidecar_carrying_only_a_prompt_still_parses ... ok
test librarian::augmentation_sidecar::tests::the_default_sidecar_name_is_injective_over_paths ... ok
test librarian::adapter::tests::names_tracker_path_still_agrees_with_the_generalised_form ... ok
test librarian::augmentation_sidecar::tests::to_row_starts_with_empty_params_and_no_refresh_history ... ok
test librarian::augmentation_sidecar::tests::a_written_sidecar_carries_no_params_key ... ok
test librarian::augmentation_sidecar::tests::round_trips_every_shape_field ... ok
test librarian::catalog::artifact::tests::slugify_normalizes ... ok
test embed::tests::unknown_prefix_returns_error ... ok
test librarian::artifact_store::backend_tests::parse_recognizes_known_backends ... ok
test librarian::artifact_store::backend_tests::refile_moves_every_chunk_of_one_artifact_and_no_others ... ok
test librarian::artifact_store::backend_tests::refile_of_an_artifact_with_no_vectors_is_zero_not_an_error ... ok
test librarian::artifact_store::backend_tests::two_projects_sharing_a_basename_get_different_collections ... ok
test librarian::catalog::artifact::tests::truncate_slug_base_cuts_on_a_dash_but_not_into_a_stub ... ok
test librarian::catalog::audit::host::tests::a_host_segment_outside_the_allowlist_is_not_a_shard ... ok
test librarian::catalog::audit::host::tests::a_hostile_host_name_cannot_escape_the_audit_directory ... ok
test librarian::catalog::audit::host::tests::a_non_shard_file_name_parses_to_nothing ... ok
test librarian::artifact_store::backend_tests::knn_returns_lower_is_closer_distance ... ok
test librarian::catalog::audit::host::tests::an_empty_or_unresolvable_name_still_yields_a_usable_id ... ok
test librarian::catalog::audit::host::tests::audit_dir_parts_carry_no_separator ... ok
test librarian::catalog::audit::host::tests::foreign_mint_distinguishes_cannot_tell_from_all_is_well ... ok
test librarian::catalog::audit::host::tests::mint_host_id_sanitizes_and_suffixes ... ok
test librarian::catalog::audit::host::tests::minted_name_accepts_only_the_shape_mint_host_id_emits ... ok
test librarian::catalog::audit::host::tests::month_key_handles_the_year_boundary ... ok
test librarian::catalog::audit::host::tests::shard_names_round_trip ... ok
